Date,Price
14-Mar-18,23
15-Mar-18,23
16-Mar-18,23.02
19-Mar-18,23.12
20-Mar-18,23.52
21-Mar-18,23.68
22-Mar-18,24.04
23-Mar-18,24
26-Mar-18,23.92
27-Mar-18,23.98
28-Mar-18,23.96
29-Mar-18,24
30-Mar-18,24
2-Apr-18,23.9
3-Apr-18,23.96
4-Apr-18,23.9
5-Apr-18,23.94
6-Apr-18,23.94
9-Apr-18,23.94
10-Apr-18,23.96
11-Apr-18,23.96
12-Apr-18,24.04
13-Apr-18,23.98
16-Apr-18,24.04
17-Apr-18,23.98
18-Apr-18,24
19-Apr-18,24.24
20-Apr-18,24.2
23-Apr-18,24.3
24-Apr-18,24.1
25-Apr-18,23.84
26-Apr-18,23.72
27-Apr-18,23.6
30-Apr-18,23.8
2-May-18,24
3-May-18,23.94
4-May-18,23.8
7-May-18,23.7
8-May-18,23.88
14-May-18,24.8
15-May-18,24
16-May-18,24.5
17-May-18,24.34
18-May-18,24.38
21-May-18,25
22-May-18,25.2
23-May-18,25.1
24-May-18,24.36
25-May-18,24.92
28-May-18,24.9
30-May-18,23.98
31-May-18,23.86
1-Jun-18,24
4-Jun-18,24.02
5-Jun-18,24.02
6-Jun-18,25
7-Jun-18,24.8
8-Jun-18,24.6
11-Jun-18,24.34
12-Jun-18,24.3
13-Jun-18,24.08
14-Jun-18,24.04
18-Jun-18,24
19-Jun-18,23.36
20-Jun-18,22.78
21-Jun-18,22.62
22-Jun-18,22.92
25-Jun-18,22.72
26-Jun-18,22.9
27-Jun-18,23.1
28-Jun-18,23
29-Jun-18,23.36
2-Jul-18,22.98
3-Jul-18,23
4-Jul-18,22.98
5-Jul-18,22.9
6-Jul-18,22.52
9-Jul-18,22.54
10-Jul-18,22.54
11-Jul-18,22.8
12-Jul-18,23
13-Jul-18,23
16-Jul-18,23.02
17-Jul-18,23.6
18-Jul-18,23.7
19-Jul-18,23.9
20-Jul-18,23.94
23-Jul-18,23.96
24-Jul-18,23.98
25-Jul-18,24
26-Jul-18,24.02
27-Jul-18,24.04
30-Jul-18,24.02
31-Jul-18,24.06
1-Aug-18,24.2
2-Aug-18,24.18
3-Aug-18,24.16
6-Aug-18,24.26
7-Aug-18,24.32
8-Aug-18,24.32
9-Aug-18,24.4
10-Aug-18,24.4
13-Aug-18,24.38
14-Aug-18,24.4
15-Aug-18,24.48
16-Aug-18,24.48
17-Aug-18,24.5
20-Aug-18,24.5
21-Aug-18,24.68
23-Aug-18,25.32
24-Aug-18,24.9
27-Aug-18,24.98
28-Aug-18,25
29-Aug-18,25.04
30-Aug-18,25.12
3-Sep-18,25.12
4-Sep-18,25.18
5-Sep-18,24.98
6-Sep-18,24.98
7-Sep-18,25
12-Sep-18,24.92
13-Sep-18,24.92
14-Sep-18,24.94
18-Sep-18,24.9
19-Sep-18,25.06
20-Sep-18,25.02
21-Sep-18,25.06
24-Sep-18,25
25-Sep-18,25
26-Sep-18,25
27-Sep-18,25
28-Sep-18,25
1-Oct-18,25
2-Oct-18,25.02
3-Oct-18,25
4-Oct-18,25
5-Oct-18,24.98
8-Oct-18,24.98
9-Oct-18,24.96
10-Oct-18,24.98
11-Oct-18,24.9
12-Oct-18,24.98
15-Oct-18,24.98
16-Oct-18,24.98
17-Oct-18,24.98
18-Oct-18,25.02
19-Oct-18,25
22-Oct-18,24.98
23-Oct-18,24.9
24-Oct-18,24.88
25-Oct-18,24.9
26-Oct-18,24.62
29-Oct-18,24.58
30-Oct-18,24.54
31-Oct-18,24.6
1-Nov-18,24.6
2-Nov-18,24.62
5-Nov-18,24.58
7-Nov-18,24.6
8-Nov-18,24.7
9-Nov-18,24.7
12-Nov-18,24.68
13-Nov-18,24.64
14-Nov-18,24.52
15-Nov-18,24.5
